region;peat_type;tree_type;year;basal_area
north;6;pine;2007;7.82719937242502
north;6;spruce;2007;0.225582193569285
north;6;deciduous;2007;0.875127082064141
north;7;pine;2007;4.03823293734589
north;7;spruce;2007;0.0912681636420004
north;7;deciduous;2007;0.509251430117693
south;1;pine;2008;2.84000635072138
south;1;spruce;2008;7.76343621456007
south;1;deciduous;2008;8.76271397430367
south;2;pine;2008;6.65934688840078
south;2;spruce;2008;7.58401075492885
south;2;deciduous;2008;6.03694040114787
south;4;pine;2008;12.4218438302057
south;4;spruce;2008;1.52821664469146
south;4;deciduous;2008;3.39952113318449
south;6;pine;2008;11.1477550553616
south;6;spruce;2008;0.175804330233146
south;6;deciduous;2008;0.922886187063852
south;7;pine;2008;5.61638579849438
south;7;spruce;2008;0.0067367445290795
south;7;deciduous;2008;0.33830874981592
north;1;pine;2008;2.86901283994299
north;1;spruce;2008;4.10786140597049
north;1;deciduous;2008;9.47248558546307
north;2;pine;2008;5.75240015993838
north;2;spruce;2008;4.90047321404228
north;2;deciduous;2008;6.50380906229147
north;4;pine;2008;9.34793612497005
north;4;spruce;2008;1.17917241179349
north;4;deciduous;2008;2.67663580657779
north;6;pine;2008;8.00196031303665
north;6;spruce;2008;0.225669116457786
north;6;deciduous;2008;0.879659978201636
north;7;pine;2008;4.23496753661322
north;7;spruce;2008;0.109159720829755
north;7;deciduous;2008;0.605711499535963
south;1;pine;2009;2.82018438486562
south;1;spruce;2009;7.89098288649059
south;1;deciduous;2009;8.7061942685197
south;2;pine;2009;6.63457824045431
south;2;spruce;2009;7.67910474943772
south;2;deciduous;2009;6.03065558328547
south;4;pine;2009;12.5680123705604
south;4;spruce;2009;1.5998605069337
south;4;deciduous;2009;3.38485988005498
south;6;pine;2009;11.2814448229729
south;6;spruce;2009;0.174539432548082
south;6;deciduous;2009;0.92558520505978
south;7;pine;2009;5.96114649863172
south;7;spruce;2009;0.0101051167936192
south;7;deciduous;2009;0.355100503933406
north;1;pine;2009;2.80240166109452
north;1;spruce;2009;4.24987333952903
north;1;deciduous;2009;9.63880126213044
north;2;pine;2009;5.69462160455074
north;2;spruce;2009;5.139731615981
north;2;deciduous;2009;6.50504028505503
north;4;pine;2009;9.42001926313002
north;4;spruce;2009;1.21185592506252
north;4;deciduous;2009;2.73404217684115
north;6;pine;2009;8.17672125364829
north;6;spruce;2009;0.225756039346287
north;6;deciduous;2009;0.884192874339131
north;7;pine;2009;4.43170213588055
north;7;spruce;2009;0.12705127801751
north;7;deciduous;2009;0.702171568954233
south;1;pine;2010;2.80036241900986
south;1;spruce;2010;8.0185295584211
south;1;deciduous;2010;8.64967456273573
south;2;pine;2010;6.60980959250783
south;2;spruce;2010;7.77419874394658
south;2;deciduous;2010;6.02437076542307
south;4;pine;2010;12.714180910915
south;4;spruce;2010;1.67150436917594
south;4;deciduous;2010;3.37019862692548
south;6;pine;2010;11.4151345905842
south;6;spruce;2010;0.173274534863018
south;6;deciduous;2010;0.928284223055708
south;7;pine;2010;6.30590719876906
south;7;spruce;2010;0.013473489058159
south;7;deciduous;2010;0.371892258050893
north;1;pine;2010;2.73579048224606
north;1;spruce;2010;4.39188527308757
north;1;deciduous;2010;9.80511693879782
north;2;pine;2010;5.6368430491631
north;2;spruce;2010;5.37899001791972
north;2;deciduous;2010;6.50627150781859
north;4;pine;2010;9.49210240129
north;4;spruce;2010;1.24453943833154
north;4;deciduous;2010;2.7914485471045
north;6;pine;2010;8.35148219425992
north;6;spruce;2010;0.225842962234788
north;6;deciduous;2010;0.888725770476626
north;7;pine;2010;4.62843673514788
north;7;spruce;2010;0.144942835205265
north;7;deciduous;2010;0.798631638372503
south;1;pine;2011;2.7805404531541
south;1;spruce;2011;8.14607623035162
south;1;deciduous;2011;8.59315485695176
south;2;pine;2011;6.58504094456135
south;2;spruce;2011;7.86929273845544
south;2;deciduous;2011;6.01808594756067
south;4;pine;2011;12.8603494512697
south;4;spruce;2011;1.74314823141818
south;4;deciduous;2011;3.35553737379597
south;6;pine;2011;11.5488243581955
south;6;spruce;2011;0.172009637177955
south;6;deciduous;2011;0.930983241051635
south;7;pine;2011;6.6506678989064
south;7;spruce;2011;0.0168418613226987
south;7;deciduous;2011;0.388684012168379
north;1;pine;2011;2.6691793033976
north;1;spruce;2011;4.53389720664611
north;1;deciduous;2011;9.97143261546519
north;2;pine;2011;5.57906449377547
north;2;spruce;2011;5.61824841985843
north;2;deciduous;2011;6.50750273058215
north;4;pine;2011;9.56418553944997
north;4;spruce;2011;1.27722295160057
north;4;deciduous;2011;2.84885491736786
north;6;pine;2011;8.52624313487156
north;6;spruce;2011;0.225929885123289
north;6;deciduous;2011;0.893258666614121
north;7;pine;2011;4.8251713344152
north;7;spruce;2011;0.16283439239302
north;7;deciduous;2011;0.895091707790773
south;1;pine;2012;2.78427764980433
south;1;spruce;2012;8.47794703220295
south;1;deciduous;2012;8.44345159118518
south;2;pine;2012;6.55016660490395
south;2;spruce;2012;7.98565055741781
south;2;deciduous;2012;5.94242166246078
south;4;pine;2012;12.8132997864761
south;4;spruce;2012;1.77870860204159
south;4;deciduous;2012;3.33931434504725
south;6;pine;2012;11.6666909066709
south;6;spruce;2012;0.180441112475462
south;6;deciduous;2012;0.922946736430565
south;7;pine;2012;6.64511803595193
south;7;spruce;2012;0.0208485184939998
south;7;deciduous;2012;0.403917759928789
north;1;pine;2012;2.63419624050976
north;1;spruce;2012;4.73786049258705
north;1;deciduous;2012;9.68235656630754
north;2;pine;2012;5.71596030384036
north;2;spruce;2012;5.78647235183937
north;2;deciduous;2012;6.57771714881575
north;4;pine;2012;9.65553624540503
north;4;spruce;2012;1.34230333427855
north;4;deciduous;2012;2.99756573426981
north;6;pine;2012;8.61910249506704
north;6;spruce;2012;0.260122915461658
north;6;deciduous;2012;0.911014060502434
north;7;pine;2012;4.91320083862478
north;7;spruce;2012;0.141557974589311
north;7;deciduous;2012;0.781583376026463
south;1;pine;2013;2.78801484645455
south;1;spruce;2013;8.80981783405429
south;1;deciduous;2013;8.2937483254186
south;2;pine;2013;6.51529226524655
south;2;spruce;2013;8.10200837638018
south;2;deciduous;2013;5.86675737736089
south;4;pine;2013;12.7662501216826
south;4;spruce;2013;1.814268972665
south;4;deciduous;2013;3.32309131629854
south;6;pine;2013;11.7845574551463
south;6;spruce;2013;0.18887258777297
south;6;deciduous;2013;0.914910231809495
south;7;pine;2013;6.63956817299745
south;7;spruce;2013;0.0248551756653009
south;7;deciduous;2013;0.419151507689198
north;1;pine;2013;2.59921317762193
north;1;spruce;2013;4.94182377852799
north;1;deciduous;2013;9.39328051714989
